loss_pol_entpen,EpisodesSoFar,ev_tdlam_before,loss_vf_loss,loss_kl,loss_pol_surr,TimeElapsed,loss_ent,EpRewMean,EpThisIter,TimestepsSoFar,EpLenMean
0.0,6851,0.8664121180772781,0.008288229,0.005955197,-0.01990542,5006.110699176788,0.6470394,-4.8,8,3911680,584.13
0.0,6858,0.8684150576591492,0.008757712,0.00785963,-0.021925734,5008.158856153488,0.6338598,-4.79,7,3915776,586.38
0.0,6865,0.8707723617553711,0.008071713,0.008210271,-0.023635978,5010.247711181641,0.6709078,-4.8,7,3919872,588.6
0.0,6871,0.8515860587358475,0.009164376,0.0065743523,-0.022372536,5012.432806968689,0.6568918,-4.8,6,3923968,592.66
0.0,6877,0.883884035050869,0.008716129,0.0075242794,-0.024588108,5014.509305238724,0.6460467,-4.81,6,3928064,592.26
0.0,6884,0.8553848266601562,0.008080199,0.008323645,-0.023902725,5016.555487155914,0.65726495,-4.82,7,3932160,592.38
0.0,6890,0.8270108103752136,0.010476495,0.007258519,-0.022250477,5018.743431329727,0.6494079,-4.8,6,3936256,598.96
0.0,6897,0.8466054052114487,0.008578173,0.0064077633,-0.023288265,5020.741044998169,0.6788552,-4.81,7,3940352,597.81
0.0,6905,0.8408416211605072,0.007135057,0.006497258,-0.02409157,5022.794387102127,0.6460573,-4.83,8,3944448,591.57
0.0,6912,0.8552593737840652,0.0073834485,0.007627729,-0.025376787,5024.751691102982,0.64192694,-4.83,7,3948544,590.1
0.0,6919,0.851128101348877,0.008957312,0.0058980575,-0.022099983,5026.697712182999,0.6161121,-4.83,7,3952640,589.55
0.0,6926,0.8473766148090363,0.0075915866,0.006245246,-0.022536265,5028.65528512001,0.6395382,-4.82,7,3956736,593.15
0.0,6933,0.8735214918851852,0.007781212,0.006397346,-0.023320228,5030.63797211647,0.6403048,-4.83,7,3960832,591.06
0.0,6940,0.8770237490534782,0.0074985633,0.0065888143,-0.02480687,5032.743181228638,0.68112814,-4.82,7,3964928,595.54
0.0,6948,0.8639005422592163,0.008695701,0.0056627807,-0.020686358,5034.809745311737,0.6101142,-4.85,8,3969024,588.99
0.0,6954,0.8690734207630157,0.0073741707,0.00580373,-0.02115976,5036.880684137344,0.6663865,-4.86,6,3973120,591.83
0.0,6960,0.8293326944112778,0.008132433,0.006371732,-0.020409558,5038.922784090042,0.6795775,-4.85,6,3977216,597.14
0.0,6968,0.8569493144750595,0.0084233135,0.0067956164,-0.023000145,5041.012646913528,0.63648766,-4.82,8,3981312,597.49
0.0,6974,0.890779085457325,0.0064687496,0.00596526,-0.022043806,5043.250657081604,0.63715607,-4.84,6,3985408,593.89
0.0,6982,0.8532396256923676,0.0070837573,0.005976115,-0.020409588,5045.351238250732,0.63384426,-4.87,8,3989504,586.1
0.0,6989,0.8734445124864578,0.0072515924,0.0069283647,-0.020264583,5047.429575204849,0.6719978,-4.87,7,3993600,580.86
0.0,6996,0.844860628247261,0.009136465,0.0052574216,-0.021317046,5049.498859167099,0.6482076,-4.88,7,3997696,577.94
0.0,7004,0.8695439249277115,0.008346459,0.0060034636,-0.022282125,5236.2904551029205,0.60737586,-4.89,8,4001792,576.19
0.0,7011,0.884736530482769,0.0070259026,0.006283596,-0.021941153,5238.400161027908,0.66377294,-4.9,7,4005888,577.11
0.0,7018,0.8489454388618469,0.0067883525,0.006255022,-0.019741636,5240.370178222656,0.6523941,-4.89,7,4009984,581.24
0.0,7025,0.8703399151563644,0.0074039777,0.006811294,-0.024084797,5242.347399234772,0.6796332,-4.89,7,4014080,581.59
0.0,7031,0.8572902083396912,0.00840365,0.006921266,-0.02201778,5244.385559082031,0.66206956,-4.89,6,4018176,587.12
0.0,7038,0.8551098853349686,0.009554481,0.007225193,-0.022080787,5246.5640070438385,0.65297985,-4.88,7,4022272,585.62
0.0,7044,0.8194560110569,0.009565188,0.006630689,-0.024346732,5248.640814304352,0.6931315,-4.87,6,4026368,589.25
0.0,7052,0.8602656275033951,0.007564951,0.005887662,-0.020659918,5250.681717157364,0.6165809,-4.86,8,4030464,591.01
0.0,7059,0.8511111289262772,0.0076374784,0.0064039296,-0.021265008,5252.7452480793,0.6467014,-4.87,7,4034560,586.92
0.0,7066,0.881169319152832,0.006413033,0.0060748113,-0.019780751,5254.848262310028,0.63449585,-4.91,7,4038656,581.78
0.0,7073,0.8228786289691925,0.007626301,0.0061128647,-0.01954462,5257.01562333107,0.6411726,-4.9,7,4042752,580.9
0.0,7081,0.8590071350336075,0.0077210176,0.007194329,-0.02206516,5259.065649271011,0.65511566,-4.9,8,4046848,580.01
0.0,7089,0.8483317643404007,0.007834769,0.007265284,-0.02256655,5261.200735092163,0.6387861,-4.91,8,4050944,577.94
0.0,7096,0.829139307141304,0.008005313,0.006584614,-0.023279564,5263.179318189621,0.6348846,-4.92,7,4055040,575.81
0.0,7103,0.8864951580762863,0.007178865,0.0060612713,-0.02037018,5265.264850139618,0.6497057,-4.91,7,4059136,576.37
0.0,7112,0.8531453013420105,0.008056332,0.0070884842,-0.02206533,5267.399857997894,0.6559032,-4.91,9,4063232,570.65
0.0,7118,0.8123071044683456,0.010893219,0.0070764376,-0.019569859,5269.400301218033,0.6884524,-4.89,6,4067328,573.47
0.0,7124,0.8272735327482224,0.008840912,0.0073464457,-0.021717312,5271.341922044754,0.6984331,-4.88,6,4071424,575.62
0.0,7132,0.8558010756969452,0.008628066,0.006372073,-0.021949548,5273.289349317551,0.67277056,-4.89,8,4075520,568.97
0.0,7138,0.8397188037633896,0.0081534535,0.006695779,-0.018599538,5275.222649097443,0.6585223,-4.89,6,4079616,569.37
0.0,7146,0.8297300487756729,0.008616844,0.007916863,-0.022943605,5277.429403305054,0.65348256,-4.89,8,4083712,566.76
0.0,7153,0.8649448305368423,0.0070872945,0.00645243,-0.02146597,5279.46625995636,0.6395485,-4.9,7,4087808,564.52
0.0,7161,0.8776359334588051,0.007832548,0.006321235,-0.020826487,5281.489572286606,0.6579033,-4.91,8,4091904,560.98
0.0,7167,0.8190964907407761,0.007988426,0.006659673,-0.023275621,5283.582805156708,0.6625982,-4.88,6,4096000,567.11
0.0,7174,0.8322043418884277,0.008854171,0.0056948746,-0.021851406,5285.8400020599365,0.6510947,-4.87,7,4100096,566.73
0.0,7182,0.8744253069162369,0.0079084085,0.007890066,-0.020654626,5288.049521923065,0.68493605,-4.86,8,4104192,569.54
