EpLenMean,ev_tdlam_before,loss_ent,EpThisIter,EpisodesSoFar,EpRewMean,loss_pol_entpen,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_vf_loss
633.02,0.9427784979343414,1.2734176,6,523,-0.05,0.0,339968,0.005907178,818.8162801265717,-0.012724622,0.020292478
639.63,0.9365366548299789,1.3145533,6,529,0.0,0.0,344064,0.005246318,822.9020972251892,-0.014796389,0.020316951
637.97,0.9332304671406746,1.2920669,7,536,-0.13,0.0,348160,0.0063272635,826.8709809780121,-0.015092745,0.02153671
636.5,0.9385979324579239,1.2834039,7,543,-0.24,0.0,352256,0.004785254,830.8587410449982,-0.016596397,0.01821774
638.52,0.9371574074029922,1.301938,6,549,-0.37,0.0,356352,0.0064817523,834.804291009903,-0.016034955,0.018686283
637.08,0.9409146420657635,1.277365,7,556,-0.34,0.0,360448,0.0068035913,838.6237690448761,-0.018795075,0.02059001
636.28,0.9211941212415695,1.3183299,6,562,-0.37,0.0,364544,0.006473549,842.8186709880829,-0.017681038,0.024336964
634.02,0.9348733723163605,1.274791,6,568,-0.4,0.0,368640,0.0060989913,846.7941129207611,-0.013924187,0.02048104
627.81,0.9365131929516792,1.297831,7,575,-0.5,0.0,372736,0.008001511,850.652773141861,-0.017561916,0.021269133
627.6,0.9303512945771217,1.2675606,7,582,-0.58,0.0,376832,0.0059474204,854.5777552127838,-0.015561065,0.02410766
623.37,0.9383784458041191,1.2431281,7,589,-0.73,0.0,380928,0.00822626,858.4161489009857,-0.01569996,0.023012098
621.66,0.9234741181135178,1.1911917,7,596,-0.72,0.0,385024,0.0054050754,862.4082880020142,-0.016726887,0.024918353
626.68,0.9149359986186028,1.2582974,6,602,-0.89,0.0,389120,0.0066827713,866.3017160892487,-0.019569365,0.022430373
627.75,0.9373175948858261,1.2177706,6,608,-0.94,0.0,393216,0.0058462303,870.0885140895844,-0.014991966,0.018303411
626.32,0.9300297349691391,1.2269204,7,615,-0.77,0.0,397312,0.0050682826,874.1032559871674,-0.01814431,0.019399995
631.09,0.9341870024800301,1.2308296,6,621,-0.81,0.0,401408,0.0076059406,877.9840040206909,-0.018252058,0.020923624
629.28,0.931289404630661,1.2275534,6,627,-0.84,0.0,405504,0.0051260972,881.8476011753082,-0.014922971,0.0181701
630.44,0.8992891609668732,1.2421849,6,633,-0.7,0.0,409600,0.0073921955,885.7608931064606,-0.019267805,0.021295082
628.95,0.9210445359349251,1.2434872,7,640,-0.66,0.0,413696,0.008829343,889.5581722259521,-0.02080036,0.01956092
626.01,0.9395790286362171,1.2096883,8,648,-0.58,0.0,417792,0.0068378504,893.4762742519379,-0.016999364,0.017664993
625.38,0.9263322055339813,1.2217631,6,654,-0.66,0.0,421888,0.006734622,897.8308551311493,-0.01851289,0.022958959
627.08,0.9250472411513329,1.1878463,6,660,-0.72,0.0,425984,0.0057487334,901.9061858654022,-0.018724939,0.018240998
633.61,0.9279491081833839,1.1666986,6,666,-0.6,0.0,430080,0.0060966196,906.0051839351654,-0.019014576,0.01962743
633.3,0.943914283066988,1.120772,6,672,-0.49,0.0,434176,0.004538422,909.8968789577484,-0.016709985,0.018354926
636.94,0.9234825372695923,1.1650484,6,678,-0.44,0.0,438272,0.006117005,914.4871170520782,-0.020846935,0.019583736
636.39,0.9471161887049675,1.1397908,8,686,-0.31,0.0,442368,0.0072363527,918.4360570907593,-0.018687805,0.019799534
639.99,0.9409991689026356,1.1486987,6,692,-0.5,0.0,446464,0.0066062706,922.2457020282745,-0.019049611,0.019246597
641.4,0.9376971907913685,1.1581125,6,698,-0.49,0.0,450560,0.005279284,926.4188330173492,-0.01783036,0.02220174
641.94,0.9366212785243988,1.1250925,6,704,-0.24,0.0,454656,0.005824535,930.8033890724182,-0.018215206,0.021951968
642.73,0.9273257926106453,1.1847866,7,711,-0.29,0.0,458752,0.007071187,934.8019912242889,-0.01978023,0.021367373
638.82,0.9246063083410263,1.1683375,6,717,-0.29,0.0,462848,0.005188087,938.4664781093597,-0.017720575,0.021136945
639.52,0.9385262914001942,1.1743988,6,723,-0.2,0.0,466944,0.007153574,942.3841550350189,-0.01816646,0.019749258
638.13,0.9263015240430832,1.1766636,7,730,-0.12,0.0,471040,0.005250132,946.444422006607,-0.017730085,0.024416614
643.33,0.9170159623026848,1.1334602,5,735,-0.08,0.0,475136,0.005731839,950.5147821903229,-0.0203319,0.020091537
644.49,0.9159485995769501,1.2062883,7,742,0.19,0.0,479232,0.0064516445,954.5336890220642,-0.020170981,0.023704048
652.03,0.9349568784236908,1.1666651,6,748,0.33,0.0,483328,0.0051262076,958.6390602588654,-0.018899795,0.020798158
652.65,0.9321934580802917,1.200499,6,754,0.42,0.0,487424,0.0070758737,962.7053511142731,-0.022943359,0.01733836
649.11,0.8999547362327576,1.2303222,6,760,0.31,0.0,491520,0.006131557,966.6860661506653,-0.0213556,0.02237413
646.09,0.930623322725296,1.1842988,7,767,0.41,0.0,495616,0.0062935594,970.5846829414368,-0.02034339,0.018013036
646.3,0.931951604783535,1.221997,6,773,0.38,0.0,499712,0.008390288,974.5688419342041,-0.019076327,0.019927377
649.29,0.9466632716357708,1.2000529,6,779,0.38,0.0,503808,0.005112273,1472.7688701152802,-0.018720545,0.016963935
655.05,0.9373880624771118,1.2029537,7,786,0.26,0.0,507904,0.0063212356,1476.780249118805,-0.017957993,0.01679076
656.91,0.9437366537749767,1.2118957,6,792,0.26,0.0,512000,0.005485097,1480.8823161125183,-0.02031803,0.019325402
656.24,0.9431524910032749,1.1350732,6,798,0.26,0.0,516096,0.005473233,1485.0303468704224,-0.017797807,0.0192668
652.63,0.9420180581510067,1.1244688,7,805,0.3,0.0,520192,0.004341502,1489.3468639850616,-0.019623218,0.016588377
651.73,0.9378789141774178,1.1724672,6,811,0.29,0.0,524288,0.005648875,1493.3916211128235,-0.019345868,0.02375058
653.44,0.9314590618014336,1.1561005,6,817,0.18,0.0,528384,0.0063411514,1497.425584077835,-0.021279447,0.024045933
649.4,0.9312391728162766,1.1548994,7,824,0.02,0.0,532480,0.0051460136,1501.6878912448883,-0.018890124,0.023527566
650.43,0.9397833086550236,1.185058,6,830,0.06,0.0,536576,0.0077884663,1505.6221601963043,-0.018169401,0.025182502
651.2,0.9282010644674301,1.1722753,6,836,-0.12,0.0,540672,0.006838184,1509.632686138153,-0.02012667,0.023893997
646.58,0.9468639940023422,1.1974432,7,843,-0.38,0.0,544768,0.0054256786,1513.5642130374908,-0.019747611,0.019632338
648.68,0.9234313368797302,1.1673051,6,849,-0.51,0.0,548864,0.0065941927,1517.418543100357,-0.01865423,0.019037727
647.05,0.936975508928299,1.1216732,6,855,-0.48,0.0,552960,0.0060345475,1521.3408000469208,-0.020501774,0.018747915
649.91,0.9273562207818031,1.1532,7,862,-0.26,0.0,557056,0.0072734086,1525.4320931434631,-0.020100575,0.019688692
649.84,0.9296775981783867,1.1109276,6,868,-0.19,0.0,561152,0.0062101376,1529.6444380283356,-0.020526778,0.019336142
646.57,0.9317405000329018,1.1224936,7,875,-0.15,0.0,565248,0.0065097306,1533.9246289730072,-0.020425022,0.019861115
643.7,0.9285359159111977,1.13108,6,881,-0.05,0.0,569344,0.0063427836,1537.664265871048,-0.020181064,0.024031345
646.39,0.9320212304592133,1.104542,6,887,0.05,0.0,573440,0.007016096,1541.463777065277,-0.020539474,0.021829624
644.27,0.9416708722710609,1.1054326,7,894,0.18,0.0,577536,0.0053354125,1545.2249131202698,-0.020054815,0.019021802
645.22,0.9295387342572212,1.1151708,6,900,-0.04,0.0,581632,0.005577994,1548.804808139801,-0.02047599,0.01901231
643.46,0.9318368509411812,1.0725898,7,907,-0.16,0.0,585728,0.007468622,1552.7234420776367,-0.020417064,0.022244664
641.96,0.9285799264907837,1.070917,6,913,-0.03,0.0,589824,0.0064168843,1556.4788472652435,-0.019552195,0.024066538
640.36,0.9408380463719368,1.0638449,7,920,-0.02,0.0,593920,0.0074867597,1560.1002609729767,-0.020964317,0.02147184
637.8,0.9160227254033089,1.0172881,6,926,0.12,0.0,598016,0.0059755114,1563.969290971756,-0.021779628,0.019388355
636.84,0.9414472989737988,1.0092769,7,933,0.28,0.0,602112,0.0051542115,1567.611557006836,-0.019674383,0.01781674
635.9,0.918561577796936,1.0650017,6,939,0.37,0.0,606208,0.008094013,1571.335035085678,-0.020992646,0.023405079
634.76,0.9353997707366943,1.0693913,7,946,0.31,0.0,610304,0.007017539,1575.1708571910858,-0.018710623,0.020698478
630.94,0.9314448311924934,1.0617787,7,953,0.16,0.0,614400,0.008853546,1579.3255050182343,-0.020360207,0.019890606
628.24,0.9309882670640945,1.0531682,6,959,0.04,0.0,618496,0.005864155,1583.6860270500183,-0.016999992,0.018447105
628.45,0.9146253168582916,1.0504036,6,965,-0.09,0.0,622592,0.0060770214,1587.6471982002258,-0.020572292,0.02351153
627.75,0.9273294657468796,1.0525334,8,973,-0.2,0.0,626688,0.006436169,1591.4713389873505,-0.019363904,0.023269331
625.51,0.9339105635881424,1.0277644,6,979,-0.24,0.0,630784,0.0062630135,1595.340543270111,-0.019096315,0.018902006
624.44,0.9385660327970982,1.0039419,6,985,-0.24,0.0,634880,0.007900517,1598.9959421157837,-0.01892169,0.01887443
623.02,0.9250982999801636,1.0253204,7,992,-0.26,0.0,638976,0.0057211886,1602.7831840515137,-0.019419612,0.017830698
623.11,0.9236693233251572,1.0166775,6,998,-0.21,0.0,643072,0.00658183,1606.76105594635,-0.016036212,0.020115485
629.17,0.9314694181084633,1.0124004,7,1005,0.0,0.0,647168,0.0054125674,1610.3711578845978,-0.018139634,0.019017098
632.74,0.9372767731547356,1.0017096,6,1011,0.07,0.0,651264,0.0073418706,1614.6342079639435,-0.019578263,0.017022718
632.63,0.9423600062727928,1.0282193,6,1017,0.06,0.0,655360,0.005514679,1618.807946920395,-0.01804984,0.019020656
636.95,0.9274039342999458,1.0013593,6,1023,0.02,0.0,659456,0.004990021,1622.8692471981049,-0.018937571,0.02125175
635.7,0.9325342997908592,1.0066648,6,1029,-0.02,0.0,663552,0.005636953,1626.787220954895,-0.019275106,0.02176285
631.98,0.9291103929281235,1.028432,8,1037,-0.25,0.0,667648,0.007918065,1630.4069969654083,-0.020361157,0.019405456
626.01,0.9446135982871056,0.95968574,7,1044,-0.12,0.0,671744,0.005325988,1634.250214099884,-0.020284984,0.017267333
631.04,0.9198731854557991,1.0098323,6,1050,0.07,0.0,675840,0.0066241664,1638.0066230297089,-0.022566298,0.021442682
632.94,0.9333502128720284,1.0315975,7,1057,0.24,0.0,679936,0.007701977,1641.8761582374573,-0.01801278,0.019312007
628.92,0.9348576739430428,1.011578,6,1063,0.15,0.0,684032,0.0064586606,1646.004250049591,-0.020748982,0.018004525
627.45,0.9333594366908073,1.0004168,7,1070,0.06,0.0,688128,0.0069406596,1649.9899020195007,-0.016500384,0.019276628
633.0,0.9383228123188019,0.9457164,6,1076,0.0,0.0,692224,0.005798112,1653.9600660800934,-0.019044416,0.017118972
630.04,0.9380708821117878,0.9879031,7,1083,0.04,0.0,696320,0.0060155895,1658.0624160766602,-0.022039423,0.020283876
633.12,0.9303952902555466,0.9591258,6,1089,0.0,0.0,700416,0.0070123277,1661.7448072433472,-0.019650312,0.02285602
635.59,0.9168580695986748,0.9737362,6,1095,-0.09,0.0,704512,0.0059645195,1666.1538610458374,-0.021084264,0.026242832
634.48,0.939495887607336,0.9741132,7,1102,-0.22,0.0,708608,0.005296429,1670.051812171936,-0.01801818,0.02226915
627.81,0.943481020629406,0.9648705,7,1109,-0.37,0.0,712704,0.0067867874,1674.0429520606995,-0.01811223,0.023090994
626.76,0.9349977821111679,0.9606988,6,1115,-0.39,0.0,716800,0.0061569787,1677.9578909873962,-0.018241499,0.020913351
621.1,0.946316447108984,0.9681149,7,1122,-0.45,0.0,720896,0.006819564,1682.1962449550629,-0.017033234,0.019105157
619.11,0.9381315968930721,0.9968376,7,1129,-0.55,0.0,724992,0.00664001,1686.7772572040558,-0.018776855,0.02200306
623.01,0.9392316974699497,1.0197868,6,1135,-0.45,0.0,729088,0.006282023,1690.7449882030487,-0.019601079,0.020848604
625.89,0.9072050824761391,1.0084627,7,1142,-0.33,0.0,733184,0.0064985147,1694.799691915512,-0.021496546,0.023542186
627.48,0.928481213748455,1.0086732,6,1148,-0.47,0.0,737280,0.00507606,1698.9538660049438,-0.01830092,0.021479726
625.03,0.9214174896478653,0.99348956,7,1155,-0.39,0.0,741376,0.0055197137,1703.2045891284943,-0.019910768,0.018850459
623.44,0.9219882190227509,1.0218474,7,1162,-0.22,0.0,745472,0.0076278383,1707.6747839450836,-0.022532273,0.02468854
627.0,0.9265959709882736,0.9879729,6,1168,-0.21,0.0,749568,0.00713768,1711.856243133545,-0.020332007,0.022848755
632.96,0.9255664274096489,0.9771261,5,1173,-0.11,0.0,753664,0.0071386322,2201.8266549110413,-0.018754397,0.0206721
630.44,0.9393061548471451,1.0106995,7,1180,-0.01,0.0,757760,0.006742418,2205.547636985779,-0.017328368,0.019788165
627.88,0.9439581967890263,0.9809702,7,1187,0.03,0.0,761856,0.007209442,2209.1859850883484,-0.02018704,0.01989285
624.43,0.9398824200034142,0.957067,6,1193,-0.16,0.0,765952,0.0062443544,2213.1221549510956,-0.023705008,0.017344471
626.83,0.9346765950322151,0.94257265,6,1199,-0.09,0.0,770048,0.0061663035,2216.769716978073,-0.019195575,0.020366881
625.55,0.9329533576965332,0.97729665,8,1207,-0.04,0.0,774144,0.0053931475,2220.5671532154083,-0.018926997,0.016861416
630.19,0.9309565126895905,0.9971286,6,1213,0.02,0.0,778240,0.0056352853,2224.4075729846954,-0.021269694,0.022018125
631.38,0.9308329299092293,1.001342,6,1219,0.16,0.0,782336,0.0073912027,2228.025587081909,-0.022543937,0.01951845
631.5,0.9356452077627182,1.0080082,7,1226,0.18,0.0,786432,0.006662257,2231.870357990265,-0.02223005,0.021129504
631.1,0.927376814186573,0.9725813,7,1233,0.15,0.0,790528,0.0051077567,2235.6673851013184,-0.018437248,0.022099135
626.72,0.9247062653303146,0.99041754,7,1240,-0.06,0.0,794624,0.005633544,2239.324916124344,-0.022464521,0.022777235
627.12,0.9242342934012413,0.998397,6,1246,-0.1,0.0,798720,0.007735121,2243.31077504158,-0.021130534,0.019518396
627.82,0.9324513524770737,0.94965386,6,1252,-0.19,0.0,802816,0.0070634126,2247.0453338623047,-0.019487815,0.021353275
630.89,0.9434096291661263,0.94656444,7,1259,-0.31,0.0,806912,0.008085804,2250.7604060173035,-0.020132288,0.022309259
632.65,0.9399016425013542,1.0260613,6,1265,-0.4,0.0,811008,0.006046807,2254.7642090320587,-0.020522607,0.022552613
623.8,0.9293373823165894,0.9291808,6,1271,-0.37,0.0,815104,0.006653524,2258.394870996475,-0.020630194,0.02629002
626.83,0.9274164661765099,0.9568904,7,1278,-0.53,0.0,819200,0.0054925475,2262.3278272151947,-0.021411484,0.024076119
632.23,0.9239693433046341,0.9561704,6,1284,-0.58,0.0,823296,0.0057844203,2266.187266111374,-0.02061676,0.022275066
634.56,0.9416616410017014,0.94885147,6,1290,-0.57,0.0,827392,0.005423788,2269.794054031372,-0.020008232,0.021149982
639.95,0.9187343493103981,1.0007551,6,1296,-0.41,0.0,831488,0.0061236965,2273.7727420330048,-0.018870382,0.020291565
642.0,0.9272971674799919,0.97112256,6,1302,-0.42,0.0,835584,0.006770098,2277.4364330768585,-0.020431729,0.020242494
