EpRewMean,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_ent,loss_pol_surr,loss_vf_loss,TimestepsSoFar
0.01,6,682.9,0.0,0.009619589,0.8141024112701416,737,538.3798940181732,1.4269879,-0.028138814,0.033050984,466944
-0.02,6,681.93,0.0,0.007520078,0.7642449736595154,743,541.9728267192841,1.4194146,-0.026824532,0.041174572,471040
-0.1,6,679.79,0.0,0.008483252,0.8353847414255142,749,545.4865186214447,1.3797275,-0.025956847,0.029078709,475136
-0.13,6,675.54,0.0,0.008982824,0.8529141992330551,755,548.9644548892975,1.4002138,-0.026316028,0.028990934,479232
-0.11,6,681.62,0.0,0.008537559,0.8193508833646774,761,552.4177396297455,1.3936955,-0.026562903,0.031602968,483328
-0.2,5,682.11,0.0,0.008206762,0.8087543249130249,766,555.7911579608917,1.3530741,-0.025720224,0.030610673,487424
-0.13,6,687.69,0.0,0.008696909,0.8490577340126038,772,559.1763746738434,1.3715641,-0.025973655,0.02637688,491520
-0.05,6,685.39,0.0,0.009518171,0.8309000134468079,778,562.6516418457031,1.3716687,-0.02799029,0.023451723,495616
-0.07,5,689.05,0.0,0.0080328565,0.854097917675972,783,566.2136399745941,1.3534769,-0.024134548,0.028187597,499712
0.19,7,688.97,0.0,0.009017361,0.8411059379577637,790,614.6475188732147,1.3402843,-0.024023157,0.026672104,503808
0.31,7,681.73,0.0,0.007909218,0.8674464225769043,797,618.2295298576355,1.3364885,-0.025312316,0.027821375,507904
0.32,6,675.54,0.0,0.008211621,0.8399223387241364,803,621.5498199462891,1.2760297,-0.022480812,0.031190462,512000
0.22,6,675.25,0.0,0.008750229,0.8768195807933807,809,625.0087418556213,1.2895154,-0.025176743,0.023817543,516096
0.37,6,684.27,0.0,0.009573734,0.8704188466072083,815,628.4505820274353,1.3210037,-0.025504699,0.025943518,520192
0.36,6,689.34,0.0,0.011338557,0.8286526501178741,821,631.8661367893219,1.2974817,-0.02643166,0.0251945,524288
0.35,6,684.41,0.0,0.009231134,0.8574163615703583,827,635.3332908153534,1.3143533,-0.02713311,0.03279138,528384
0.41,6,684.05,0.0,0.008961499,0.8369810432195663,833,638.8545169830322,1.289033,-0.02671435,0.027542552,532480
0.59,6,685.3,0.0,0.00791811,0.8389204293489456,839,642.4360618591309,1.2890038,-0.026603227,0.031079743,536576
0.56,6,686.06,0.0,0.008093787,0.8638190180063248,845,646.0179257392883,1.279548,-0.027054984,0.032883637,540672
0.52,6,682.46,0.0,0.009943143,0.814117819070816,851,649.4622509479523,1.2466803,-0.026411677,0.038147636,544768
0.44,7,674.34,0.0,0.007147424,0.8423887491226196,858,652.8478107452393,1.230755,-0.023112653,0.03591761,548864
0.42,6,673.93,0.0,0.008806244,0.8566252440214157,864,656.3924369812012,1.2510728,-0.026419617,0.034839176,552960
0.59,6,671.69,0.0,0.008928885,0.7762963175773621,870,659.8778879642487,1.2579681,-0.025029002,0.03758143,557056
0.42,6,672.66,0.0,0.008506848,0.7790845185518265,876,663.3355667591095,1.2486299,-0.02562509,0.026506003,561152
0.41,5,670.44,0.0,0.009531766,0.7816063612699509,881,667.0037529468536,1.2549953,-0.027588457,0.023032075,565248
0.24,7,662.31,0.0,0.008700353,0.8559070527553558,888,670.4550457000732,1.2480638,-0.025810985,0.019942315,569344
