EpisodesSoFar,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpThisIter,loss_pol_entpen,loss_ent,ev_tdlam_before,TimestepsSoFar,EpLenMean
1680,-0.3,0.0015080048,25210.817961215973,0.006577635,-0.011380463,1,0.0,0.760183,0.34069329500198364,3624960,3010.0
1682,-0.29,8.0588725e-05,25214.65854024887,0.008411608,-0.011353267,2,0.0,0.7491276,-2.1650619506835938,3629056,3010.0
1683,-0.29,0.0014838956,25218.60128736496,0.0076975287,-0.01181977,1,0.0,0.754494,0.3435976505279541,3633152,3010.0
1684,-0.35,0.004020754,25222.579203128815,0.00882698,-0.019889098,1,0.0,0.7823872,0.4152602553367615,3637248,3009.71
1686,-0.35,0.0020302674,25226.44165611267,0.014055444,-0.012645563,2,0.0,0.8135588,-0.33607757091522217,3641344,3009.71
1687,-0.36,0.0013510798,25230.583254098892,0.004211891,-0.0055271173,1,0.0,0.77814925,0.2460903525352478,3645440,3009.71
1688,-0.35,0.0024568741,25234.150941371918,0.011671687,-0.016427074,1,0.0,0.7944201,0.3802880644798279,3649536,3009.71
1690,-0.34,0.00094764517,25237.687955379486,0.008466395,-0.011954466,2,0.0,0.7250006,0.5398330688476562,3653632,3009.71
1691,-0.34,0.00011348554,25241.69329714775,0.00897779,-0.01361879,1,0.0,0.76793134,-1.5507903099060059,3657728,3009.71
1692,-0.31,2.5052555e-05,25245.2598631382,0.011692232,-0.015576021,1,0.0,0.8010795,-1.0912120342254639,3661824,3009.71
1694,-0.31,0.0014439767,25248.861668109894,0.011682775,-0.004578192,2,0.0,0.7976574,-0.08066761493682861,3665920,3009.71
1695,-0.3,0.0018384398,25252.80450320244,0.005660235,-0.010811405,1,0.0,0.7558504,0.13223105669021606,3670016,3009.71
1697,-0.31,0.0015401598,25256.474083185196,0.008173667,-0.010954378,2,0.0,0.7319651,0.5396109819412231,3674112,3009.71
1698,-0.3,6.879992e-05,25260.332978248596,0.007615009,-0.01595611,1,0.0,0.7934574,-1.1702044010162354,3678208,3009.71
1699,-0.29,2.506813e-05,25264.300086021423,0.008883503,-0.021696677,1,0.0,0.81662464,-0.3209339380264282,3682304,3009.71
1701,-0.31,0.0024688703,25267.930636167526,0.006945984,-0.017326908,2,0.0,0.8046495,0.5450752675533295,3686400,3009.71
1702,-0.35,0.0011313065,25272.040166139603,0.013237668,-0.01287162,1,0.0,0.8271192,0.5351497828960419,3690496,3014.72
1703,-0.36,0.0007342711,25275.740893363953,0.0071627065,-0.0138390735,1,0.0,0.8284781,0.5619384348392487,3694592,3014.72
1705,-0.38,0.0013765777,25279.47382235527,0.007031153,-0.014489984,2,0.0,0.78957427,0.632411777973175,3698688,3014.72
1706,-0.35,3.592714e-05,25283.472932100296,0.008625528,-0.019864496,1,0.0,0.78785425,-2.8224127292633057,3702784,3014.72
1707,-0.35,1.1629937e-05,25287.278118371964,0.008889192,-0.025175773,1,0.0,0.7600078,-1.9541690349578857,3706880,3014.72
1709,-0.37,0.004855737,25291.407279253006,0.009287589,-0.016152164,2,0.0,0.7727653,0.4794454574584961,3710976,3014.72
1710,-0.39,3.970684e-05,25295.184896230698,0.009589286,-0.014896743,1,0.0,0.78880036,-4.319736480712891,3715072,3014.72
1712,-0.39,0.0005203223,25299.09850335121,0.0045462805,-0.0073875687,2,0.0,0.82135564,0.3596034049987793,3719168,3014.72
1713,-0.39,0.00045267807,25303.261474132538,0.00617021,-0.0094154375,1,0.0,0.80728555,0.2861720323562622,3723264,3014.72
1714,-0.39,4.746022e-05,25307.148602247238,0.007325142,-0.016771752,1,0.0,0.78030944,-1.8179898262023926,3727360,3014.72
1716,-0.4,0.0012533952,25311.147393226624,0.008935865,-0.015290085,2,0.0,0.8209198,0.8041904866695404,3731456,3014.72
1717,-0.42,0.0018701268,25315.323981285095,0.008454224,-0.01710869,1,0.0,0.84809035,0.6839321255683899,3735552,3014.72
