EpRewMean,loss_ent,loss_vf_loss,ev_tdlam_before,EpThisIter,TimeElapsed,loss_pol_entpen,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_surr,EpLenMean
-4.92,1.4510579,0.004943945,0.7527278959751129,8,482.69528889656067,0.0,262144,0.006536927,462,-0.0104694385,540.59
-4.92,1.3946543,0.0045157922,0.7914450317621231,7,486.4547679424286,0.0,266240,0.008706749,469,-0.010971283,542.31
-4.92,1.4366052,0.005074673,0.7684085667133331,7,490.1717720031738,0.0,270336,0.0062464327,476,-0.010367356,542.9
-4.93,1.4080245,0.00443532,0.7998007386922836,7,493.73757815361023,0.0,274432,0.0102243,483,-0.009528023,545.27
-4.9,1.4730008,0.0056267506,0.7235049307346344,8,497.90456986427307,0.0,278528,0.009760156,491,-0.012947085,540.78
-4.89,1.5001493,0.005762119,0.7315234839916229,7,501.8084020614624,0.0,282624,0.0093004955,498,-0.012713801,542.82
-4.89,1.4563266,0.0048851357,0.7659525871276855,7,505.600368976593,0.0,286720,0.008444647,505,-0.013302924,544.16
-4.88,1.4395906,0.005096901,0.7723740786314011,8,509.6975541114807,0.0,290816,0.0076617193,513,-0.012140432,547.56
-4.87,1.3918558,0.005565849,0.7402908504009247,7,513.205747127533,0.0,294912,0.012420301,520,-0.012479274,550.45
-4.88,1.3454081,0.0046079126,0.7838741540908813,7,516.8923959732056,0.0,299008,0.005986986,527,-0.010498096,551.95
-4.88,1.3296169,0.004875463,0.7918455898761749,8,520.5954298973083,0.0,303104,0.008544438,535,-0.011977115,554.82
-4.88,1.3627986,0.0047189193,0.7833272963762283,8,524.2078428268433,0.0,307200,0.0071106926,543,-0.011481026,551.93
-4.86,1.3794507,0.004981732,0.7771377414464951,7,527.9821720123291,0.0,311296,0.009322245,550,-0.011284581,558.09
-4.87,1.365251,0.0049615153,0.7631031274795532,7,531.6429331302643,0.0,315392,0.0101998355,557,-0.014175176,554.98
-4.88,1.4018515,0.0044726073,0.7992173433303833,8,535.2132480144501,0.0,319488,0.00709207,565,-0.010479008,558.01
-4.89,1.3549998,0.005194724,0.7943877726793289,8,538.9535100460052,0.0,323584,0.010688078,573,-0.010522482,550.6
-4.88,1.3390142,0.0044389274,0.7841431051492691,7,542.5349998474121,0.0,327680,0.0049695857,580,-0.008716702,554.94
-4.89,1.2669683,0.0047552907,0.7835728377103806,7,546.1688280105591,0.0,331776,0.009703771,587,-0.012830674,554.94
-4.92,1.3222841,0.004436726,0.7847499549388885,7,549.9982581138611,0.0,335872,0.006008302,594,-0.009804937,556.34
-4.89,1.2564048,0.004887516,0.7596716731786728,6,553.5685868263245,0.0,339968,0.006963134,600,-0.0105205355,562.16
-4.89,1.2688133,0.004539241,0.7795236706733704,7,557.2520229816437,0.0,344064,0.0074294587,607,-0.011745224,562.39
-4.89,1.2845627,0.005101332,0.7809902131557465,8,561.1030838489532,0.0,348160,0.007033491,615,-0.009438112,560.62
